Date,Type,Cost,Description
1/29/2023,Music,9,Various Artists: Arcane League of Legends (Soundtrack from the Animated Series)
1/26/2023,Music,10,Motionless in White: Creatures
1/24/2023,Music,7,ten56.: Downer Part.2
1/23/2023,Music,4,My Chemical Romance: Welcome to the Black Parade - Single
1/22/2023,Music,9,Lamb of God: Omens
1/17/2023,Music,10,Uneven Structure: Februus
1/16/2023,Music,2,Ed Sheeran: Bad Habits (feat. Bring Me The Horizon)
1/16/2023,Music,3,CHTHONIC: Forty-Nine Theurgy Chains - EP
1/15/2023,Music,2,Machine Gun Kelly: RAP DEVIL
1/15/2023,Music,2,Eminem: Killshot
1/9/2023,Music,5,Childish Gambino: EP
1/8/2023,Music,15,Sold Soul: I Hope We Make It Out of This Alive
1/7/2023,Music,1,QUEEN KONA: Boundaries Dissolved
1/6/2023,Music,2,"Termina, Nik Nocturnal & Andy Cizek: Translucent"
1/18/2023,Books,26,Peter Watts: Blindsight
1/12/2023,Games,15,Soulstone Survivors